Title: Memories.ai Internal Meeting — Google_Cloud_Startup_Day_2026_Hangzhou
Video ID: VI719819307465535489
Date: 2026-06-10
Source: Memories.ai / Sequoia Dogfood Recording
Tags: google_cloud_startup_day_2026, hello_hangzhou, tech_event
URL: https://mavi-resource.openinterx.com/VI719819307465535489.mp4
Status: Sequoia Dogfood — Personal/Internal Recording
---

[00:00:01] 我们下回你有panel
[00:00:05] 对我有panel
[00:00:06] 他跟我答
[00:00:06] 是是是
[00:00:08] 好多谢瑞金
[00:00:09] 我们加微信吧
[00:00:10] 我在一本主要负责产品
[00:00:14] 好嘞
[00:00:16] 我扫你吧
[00:00:17] 好
[00:00:17] 我扫你吧
[00:00:21] 你可以问一下吧
[00:00:27] 我问一下吧
[00:00:28] OK
[00:00:28] 我每天在上海
[00:00:30] 每天下午北京
[00:00:31] 每天下午北京
[00:00:32] 好嘞
[00:00:45] 多谢多谢多谢
[00:00:47] 对对对
[00:00:50] 我好像上次去硅谷上
[00:00:52] 听到你们的一个talk
[00:00:53] 是吗
[00:00:54] 在哪里
[00:00:55] 我忘了
[00:00:56] 因为硅谷里面很多活动
[00:00:57] 对硅谷里面很多活动
[00:00:57] 是个跟记忆相关的活动
[00:00:59] 对对对
[00:00:59] 我们主要是做世界记忆的
[00:01:01] 好
[00:01:01] 你平常现在在
[00:01:03] 我们在硅谷
[00:01:04] 对
[00:01:05] 最近最正好回到硅谷
[00:01:06] 所以业务在这边跑一跑
[00:01:08] 对
[00:01:09] 我们业务还是主要是在美国比较多一些
[00:01:10] 国内业务相对来说少一些
[00:01:12] 但是但是但是国内的话
[00:01:14] 因为最近这个我们这个摄像头
[00:01:16] 这个开始要乱产了
[00:01:18] 对
[00:01:18] 然后会国内跑多一些
[00:01:20] 好
[00:01:21] 后面后面多聊
[00:01:23] 对对对
[00:01:23] 好嘞
[00:01:24] 咱们线上再约
[00:01:25] 行
[00:01:25] 您是要走了是吗
[00:01:26] 对
[00:01:26] 我就在放火就撤了
[00:01:27] 我还有别的事
[00:01:28] 好好好
[00:01:29] 我约个人
[00:01:29] 好好后面再约
[00:01:30] 好的
[00:01:35] 下面看你们的展台
[00:01:36] 对对对
[00:01:38] 我们这个
[00:01:38] 因为做卖
[00:01:39] 然后
[00:01:40] 做卖剧
[00:01:41] 然后然后
[00:01:42] 你们的展台
[00:01:42] 对对
[00:01:43] 上个公司是
[00:01:45] 不是比较大的客户
[00:01:51] 除了Luki以外
[00:01:53] 还有什么是
[00:01:53] 相对比较执迷的一些
[00:01:56] 联想
[00:01:56] 然后Comcast
[00:01:58] 只有
[00:01:59] Comcast
[00:02:00] 那个美国的Comcast
[00:02:01] 对对美国Comcast
[00:02:02] 然后
[00:02:03] 他们现在不是做什么
[00:02:03] 他们有好多好多摄像头
[00:02:05] 相关的这个业务了
[00:02:07] 他们
[00:02:08] 有安防
[00:02:10] 他们好大
[00:02:12] 好大
[00:02:12] 你知道那个Universal Studio
[00:02:14] 那主题公园都是他们家的
[00:02:16] 这样子
[00:02:16] 嗯
[00:02:17] 卧槽
[00:02:17] Comcast超几大
[00:02:19] 那不是随时Comcast
[00:02:21] 对
[00:02:21] Universal Studio是Comcast的
[00:02:23] 这种telecom company都很大很大
[00:02:26] 然后包括我们然后另外一些
[00:02:27] 比如说印度的Jill
[00:02:28] 也是印度非常大的一家
[00:02:31] 嗯
[00:02:32] 这个这个这个
[00:02:34] telecom公司
[00:02:35] 因为我们给他们
[00:02:36] 更多是提供一种中间建
[00:02:38] 还是直接帮他们去落地
[00:02:40] 到他们想要去做的一些应用场景
[00:02:42] 我们是FD模式
[00:02:43] 直接就是做End to End solution
[00:02:45] 对
[00:02:46] 然后是我们
[00:02:47] 这个有比较重的forward deployment
[00:02:49] 对对对对对对
[00:02:50] 我们我们我们service还挺重的
[00:02:53] OK
[00:02:54] 所以其实是视觉记忆相关的应用场景
[00:02:57] 对对对对
[00:02:58] 会直接以服务的方式他们去做
[00:03:00] 没错没错没错
[00:03:01] 对对对对
[00:03:02] 那很厉害
[00:03:02] 然后做完一个之后
[00:03:03] 我们再去replicate相关的一些业务和商机
[00:03:06] 没有我看到对
[00:03:07] 我给你一下
[00:03:08] 因为现在其实这个
[00:03:11] 你发展在哪里啊
[00:03:12] 我的事发展太快之后
[00:03:13] 其实大家对于AI
[00:03:15] 也不知道你的技术编辑在哪里
[00:03:17] 对
[00:03:18] 很难很难做到特别
[00:03:20] 是先成定的
[00:03:20] 对对对
[00:03:21] 是的
[00:03:21] 是是是
[00:03:22] 很难定义
[00:03:23] 对不好意思
[00:03:23] 我们
[00:03:24] 三个三个
[00:03:26] 对对对
[00:03:26] 对对
[00:03:27] 我先去一边
[00:03:28] 好
[00:03:30] 好
[00:03:30] 谢谢
[00:03:31] 喂
[00:03:32] 你走了
[00:03:33] 嗯
[00:03:34] 嗯
[00:03:35] 别担心
[00:03:36] 很少人
[00:03:36] 很少人来来来用
[00:03:37] 我找一下
[00:03:39] 你有空吗
[00:03:43] 我我我
[00:03:43] 待会得开个会
[00:03:45] 然后我现在上上次的
[00:03:46] 怎么了
[00:03:48] 我就说之后
[00:03:49] 我给你聊一下
[00:03:50] 那个还等我
[00:03:51] 等到到会儿
[00:03:51] 到会儿
[00:03:52] 我现在我现在留天开会
[00:03:53] 我现在讲讲外那边
[00:03:54] 好好好
[00:03:54] 没有问题
[00:03:55] 没有问题
[00:03:55] 没有问题
[00:03:56] 哎
[00:03:58] 那一会儿一会儿先一会儿聊
[00:03:59] 哎
[00:04:01] 我有机会了
[00:04:03] 这个一会儿一会儿
[00:04:04] 我们在视觉上其实是有一个想做的东西
[00:04:07] 啊
[00:04:07] 是吗
[00:04:08] 啊
[00:04:08] 我们没想好
[00:04:10] 使用场景价值
[00:04:12] 对
[00:04:12] 哈哈哈
[00:04:13] 我觉得会展会是一个比较好的场景
[00:04:15] 哦
[00:04:16] 哈哈哈
[00:04:16] 这个肯定是
[00:04:17] 我不是说
[00:04:17] 我不是说视觉本身没有什么好处的
[00:04:19] 我是说我们自己要做那个硬件
[00:04:21] 哎
[00:04:21] 谢谢
[00:04:22] 谢谢
[00:04:22] 那个使用场景视觉上该怎么样去用
[00:04:24] 我们
[00:04:25] 哎
[00:04:25] 谢谢
[00:04:25] 这个讨论很久
[00:04:26] 可以到时候聊到时候
[00:04:27] 会可以约个时间
[00:04:28] 可以好呀
[00:04:29] 好呀
[00:04:29] 好呀
[00:04:29] 好呀
[00:04:30] 哎
[00:04:30] 到时候
[00:04:31] 嗯
[00:04:33] 哎
[00:04:33] 哈喽
[00:04:34] 哈喽
[00:04:34] 哎
[00:04:36] 你都发的推诿都做了过
[00:04:38] 哎
[00:04:38] 好的
[00:04:38] 好的
[00:04:38] 好的
[00:04:39] 刚刚还在另外一块上
[00:04:40] 那我先我先加入
[00:04:41] 哎
[00:04:52] 手下
[00:04:53] 我们第一次做一个
[00:04:58] 随着
[00:05:47] 我还在不在会上
[00:06:09] 我就现在先
[00:06:10] 对对对
[00:06:11] 好好好
[00:06:12] 管你了
