Title: VI721952639943966721
Video ID: VI721952639943966721
Source: Memories.ai Sequoia Dogfood
Create Time (epoch ms): 1781586122644
Fetched: 2026-07-11
Transcript lines: 483

[00:00:10] 走啊
[00:00:11] 走
[00:00:22] 对我单独拉了个群啊
[00:00:35] 你跟他说啊
[00:00:37] 我已经
[00:00:38] 我已经拉了
[00:00:40] 走
[00:01:23] 来啊
[00:01:59] 地址
[00:02:00] 长安府
[00:02:02] 先去拿东西对不
[00:02:07] 先去拿东西
[00:02:08] 然后去完去派出所
[00:02:09] 然后去完再去
[00:02:10] 那个服务级管理
[00:02:12] 哦要先去派出所
[00:02:13] 对
[00:02:14] 还不知道派出所在哪
[00:02:21] 应该离长安府
[00:02:22] 最近的那个派出所
[00:02:24] 为什么要嘲笑我就穿它
[00:02:26] 下雨天
[00:02:29] 我真不想有什么穿的
[00:02:31] 哎呀很心退戏的
[00:02:36] 很多铜板的裤子
[00:02:38] 这显得你的腿是歪了
[00:02:42] 好棒
[00:02:43] 你现在穿的很直吗
[00:02:45] 你这戴着片啊
[00:02:50] 我不喜欢你戴着片啊
[00:02:51] 为什么
[00:02:52] 因为我有肖像权的
[00:02:54] 没有肖像权
[00:02:55] 我付钱你付钱
[00:02:56] 没有肖像权
[00:02:57] 有
[00:02:58] 没有肖像权
[00:02:59] 你付钱给我
[00:03:00] 为什么呀
[00:03:01] 你不是要付钱给我
[00:03:03] 我这布很难看嘛
[00:03:04] 那要我换
[00:03:05] 不难看走啊
[00:03:06] 这边别人看了
[00:03:10] 不难看呀
[00:03:11] 那我换吧
[00:03:12] 还好呀
[00:03:13] 我换你吧
[00:03:14] 那先把东西放进去不就好了吗
[00:03:16] 远看还好呀
[00:03:29] 远看还好呀
[00:03:39] 把把这个宝宝也拆下吧
[00:03:42] 你知道怎么拆的吧
[00:03:53] 就是扣这边吧
[00:03:54] 对对对
[00:03:55] 你家有小朋友吗
[00:03:59] 没用过那点
[00:04:14] 然后后面装的时候也是一样的装
[00:04:16] 装去哪里
[00:05:31] 我放给你说
[00:06:13] 等一下它等一下它
[00:06:15] 等下我老婆
[00:06:16] 师傅你
[00:07:38] 是不是靠下来
[00:07:39] 拿点水出来
[00:07:40] 你要跟西游北聊什么
[00:08:42] 水水管
[00:08:46] 不行
[00:10:15] 什么症状啊 什么症状啊
[00:10:18] 就是这个症状 这个问题啊
[00:10:29] 说不定这是一个常见的问题啊
[00:10:39] 人家都会痒的
[00:10:41] 嗯
[00:10:55] 因为这个药膏很有用的呀
[00:11:04] 这样那个不就不痒了吗
[00:11:06] 麻痒了吗
[00:11:07] 不痒了然后就不尴尬了呀
[00:11:08] 嗯
[00:11:09] 对啊
[00:11:10] 那我不是
[00:12:42] 谁
[00:12:43] 我看了你这一篇回答我台词
[00:12:53] 然后我就忘记回答了
[00:12:54] 因为我昨天在努力在玩
[00:12:57] 哦
[00:13:00] 你看过你的这一篇吗
[00:13:01] 当然看过
[00:13:04] 现在是一个有名人士
[00:13:05] 那可以吧
[00:13:06] 能不能不要老师
[00:13:09] 干嘛
[00:13:10] 我现在要
[00:13:12] 我现在要context maximizing
[00:13:13] 你知道什么叫context maximizing吗
[00:13:15] 我不想
[00:13:15] 我发明的
[00:13:16] 第一次
[00:13:18] 收到了
[00:13:19] 极大的
[00:13:21] 那他刚刚是不是看到了
[00:13:24] 他看到什么了
[00:13:26] 有可能吧
[00:13:27] 是不是得关掉
[00:13:34] 他这个东西
[00:13:36] 他这个东西
[00:13:36] 又不会被别人看到
[00:13:38] 会的
[00:13:39] 是被别人看到
[00:13:40] 你的后端都看得到的
[00:13:42] 那我的后端
[00:13:43] 我的我的后端
[00:13:44] 我的后端看不到
[00:13:44] 他们不会来看我的
[00:13:46] 公司有明确的policy
