Title: Memories.ai Internal Meeting — AI_Applications_Meeting_ML_Video_Indexing
Video ID: VI721959518299992065
Date: 2026-06-16
Source: Memories.ai / Sequoia Dogfood Recording
Tags: ai_applications, machine_learning, video_indexing
URL: https://mavi-resource.openinterx.com/VI721959518299992065.mp4
Status: Sequoia Dogfood — Personal/Internal Recording
---

[00:00:01] 我们现在没有在联络
[00:00:08] 没有在联络
[00:00:09] 你就只能转过
[00:00:11] 我也正在安装
[00:00:12] 没有在联络
[00:00:13] 现在什么
[00:00:17] 我们在拼什么
[00:00:17] 可以吸电脑对版
[00:00:19] 这个什么
[00:00:20] 我们在联络
[00:00:22] 我们在拼什么
[00:00:27] 可以吸电脑对版
[00:00:29] 你怕给你屏幕吸坏了
[00:00:32] 不怕
[00:00:33] 为什么不怕
[00:00:34] 正好解决你一下
[00:00:37] 上午我感觉
[00:00:39] 我感觉吸坏了
[00:00:41] 不怪什么
[00:00:42] 怎么会吸坏呢
[00:00:43] 自己啊
[00:00:44] 是乌汉企业的
[00:00:46] 不可能
[00:00:46] 小心点
[00:00:47] 如果找的角度好一点
[00:00:55] 以后所有公司的人
[00:00:57] 能够真正买这个
[00:00:59] 电子公牌嘛
[00:01:01] 哈哈哈
[00:01:03] 把所有人都给数字化了
[00:01:07] 直接靠近到EBA是吧
[00:01:09] 嗯
[00:01:10] 前几天那个微软
[00:01:16] 他会全部出来project service
[00:01:18] 电子公牌看到没
[00:01:21] 也受伤了
[00:01:22] 录音受伤了
[00:01:25] 多了一个墨水屏
[00:01:26] 看是吧
[00:01:28] 嗯
[00:01:29] 耳鸣我能听到吗
[00:01:33] 嗯可以可以
[00:01:34] 那我开始吧
[00:01:36] 我这电话就是
[00:01:39] 好
[00:01:39] 好
[00:01:39] 我现在看了一下
[00:01:44] 现在这几天的状态的话
[00:01:45] 基本上比之前少了
[00:01:47] 存储这边少了三几个一天
[00:01:50] 按理说我这少了一千包吧
[00:01:52] 你删了多少
[00:01:53] 删了十七个屁股
[00:01:55] 真是
[00:01:56] 我还以为我没有删漏的
[00:02:04] 一轮删了十几个
[00:02:05] 第二轮删不了十几个
[00:02:06] 第二轮删不了十几个
[00:02:08] 是吧
[00:02:13] 是把tiktok删了还是
[00:02:15] 不是
[00:02:15] 我们公共户的先把那些数据
[00:02:18] 把他们原数据
[00:02:19] MP图片
[00:02:20] 这那种文件都给删掉了
[00:02:23] 啊
[00:02:24] 因为不删的话
[00:02:25] 它会一直这样
[00:02:26] 对
[00:02:26] 那还留下什么呢
[00:02:27] 没了
[00:02:28] 没了
[00:02:29] 这tiktok公用户就没了
[00:02:31] 有
[00:02:31] 有部分
[00:02:32] 有一半数据
[00:02:33] 留了一万还留几万是吧
[00:02:35] 对
[00:02:36] 现在库里面现在有的
[00:02:37] 身上是什么呢
[00:02:38] 身上的钱
[00:02:40] 之前没上完的
[00:02:42] 哦
[00:02:43] 那你那留下来什么了
[00:02:45] 留下来就是现在库里有了
[00:02:47] 对现在库里有了
[00:02:48] 就之前就之前那个就是没上
[00:02:50] 但是就之前上下的没上完
[00:02:54] 啊
[00:02:55] 今天是上了一五周就没上一元
[00:02:57] 啊
[00:02:59] 了解了
[00:03:02] 上周我把那个上周还是
[00:03:05] 主要是联想那个项目
[00:03:06] 然后他立了六个模型
[00:03:09] 然后现在的话
[00:03:10] 除了隐别定隐别定model和那个
[00:03:13] java 4还没有
[00:03:15] 还没有转还没有测完之外
[00:03:17] 呃其他的之前的那几个
[00:03:20] 都是转换过
[00:03:22] 转换完成然后在 host cpu 上测过来
[00:03:26] host cpu 上基本上都能达到他们要求
[00:03:29] 然后我们的那个隐别定是
[00:03:31] 把我们相测的那套拨了出来
[00:03:33] 然后我昨天前昨天晚上测完
[00:03:37] 发现进度达不到
[00:03:38] 然后
[00:03:39] 我去
[00:03:40] 找了一下他的那个最新版本
[00:03:42] 那个最新版本是可以的
[00:03:43] 然后我正在我刚刚转完
[00:03:45] 我正在正在那个封了之后重测
[00:03:48] 你想说他们让那个六个是六个模型
[00:03:50] 同时预加载这个满足吗
[00:03:52] 嗯那个同时预加载
[00:03:54] 我觉得就是就是卡个内存呗
[00:03:56] 就是他现在的有一个问题就是
[00:03:59] 他给我们其实这么多模型
[00:04:00] 但是他没有给我们拍拍
[00:04:01] 或者说他没有给我们 flow
[00:04:03] 嗯我们怎么
[00:04:04] 我们不知道他们是内部的那个 flow
[00:04:07] 是怎么样做
[00:04:08] 用这个几个模型呢
[00:04:10] 因为呃
[00:04:11] 他我们是可以给他做
[00:04:12] 就是只要是16g 的内存
[00:04:15] 能能吃得住
[00:04:16] 那我们一次性加载进去
[00:04:17] 然后挨个跑跑个几百次都可以
[00:04:21] 这个做回来
[00:04:21] 但现在就加载可以多一下了
[00:04:24] 对对对
[00:04:25] 呃我们现在我们手机上是这样的
[00:04:28] 我们手机是你开那个 ai 的时候
[00:04:30] 我再去加那个大的节目模型
[00:04:33] 但实际上我们不加
[00:04:34] 这样的话我们整个 ap 的那个
[00:04:37] 内存啊整个速度会快
[00:04:40] 对
[00:04:41] 然后嗯
[00:04:42] 他需要这样无脑的加载
[00:04:44] 我们是可以做的
[00:04:45] 只要内存撑撑撑得住嗯
[00:04:47] 只要内存和 kvk 是撑得住
[00:04:48] 我们应该都没什么问题
[00:04:50] 不是然后呃
[00:04:52] 然后就是那个 java
[00:04:54] java 他们要测
[00:04:55] 他们测的那个数据库都比较大
[00:04:58] 都是一百多个g 的
[00:05:00] 然后手机上测的时候真的有点慢
[00:05:03] 嗯如果说他们一定要要测到我们
[00:05:06] 也可以就是时间慢一点
[00:05:08] 然后呃目前就
[00:05:11] 主要担心的是那个 java java 4
[00:05:14] 然后 java 4
[00:05:15] 嗯之前周周日的时候他是一个叫
[00:05:19] 直接无脑的平均强样测下来效果不行
[00:05:22] 他十个就我做了一个小的数据随意抽了
[00:05:24] 十个只能对三个
[00:05:26] 然后呃我分析了一下
[00:05:29] 可能是他那个就是 keyframe 抓的不够准
[00:05:32] 然后把 transnet 加进去了
[00:05:35] 然后现在还在测
[00:05:37] 然后我们现在是4k 的那个上下玩
